country,2012_happiness,2022_happiness
Afghanistan,37.8,18.6
Albania,55.1,52.8
UAE,72.2,65.7
Argentina,64.7,60.2
Armenia,43.2,53.4
Australia,72.0,71.0
Austria,74.0,71.0
Belgium,69.3,68.6
Benin,31.9,43.7
Burkina Faso,39.5,46.4
Bangladesh,47.2,42.8
Bulgaria,42.2,54.7
Bahrain,50.3,61.7
Bosnia and Herzegovina,47.7,56.3
Bolivia,60.2,56.8
Brazil,66.6,61.3
Botswana,48.4,34.4
Canada,74.2,69.6
Switzerland,77.8,72.4
Chile,66.0,63.3
China,51.0,58.2
Cameroon,42.5,49.7
"Congo, Dem. Rep.",46.4,32.1
"Congo, Rep.",39.2,52.7
Colombia,63.8,56.3
Comoros,39.6,35.5
Costa Rica,72.7,66.1
Cyprus,61.8,61.3
Czech Republic,63.3,68.5
Germany,67.0,68.9
Denmark,75.2,75.9
Dominican Republic,47.5,55.7
Algeria,56.0,53.3
Ecuador,59.6,55.6
Egypt,42.0,41.7
Spain,62.9,64.4
Estonia,53.6,64.5
Ethiopia,45.6,40.9
Finland,74.2,78.0
France,66.5,66.6
Gabon,39.7,50.4
UK,68.8,68.0
Georgia,42.5,51.1
Ghana,50.6,46.0
Guinea,36.5,50.7
Greece,51.0,59.3
Guatemala,58.6,61.5
"Hong Kong, China",54.8,53.1
Honduras,46.0,60.2
Croatia,60.3,61.3
Hungary,46.8,60.4
Indonesia,53.7,52.8
India,47.2,40.4
Ireland,69.7,69.1
Iran,46.1,48.8
Iraq,46.6,49.4
Iceland,75.9,75.3
Israel,71.1,74.7
Italy,58.4,64.0
Jordan,51.3,41.2
Japan,59.7,61.3
Kazakhstan,57.6,61.4
Kenya,45.5,44.9
Kyrgyz Republic,52.1,58.3
Cambodia,39.0,43.9
South Korea,60.0,59.5
Lao,48.8,51.1
Lebanon,45.7,23.9
Sri Lanka,42.3,44.4
Lithuania,57.7,67.6
Luxembourg,69.6,72.3
Latvia,51.3,62.1
Morocco,49.7,49.0
Moldova,60.0,58.2
Madagascar,35.5,40.2
Mexico,73.2,63.3
North Macedonia,46.4,52.5
Mali,43.1,42.0
Malta,59.6,63.0
Myanmar,44.4,43.7
Montenegro,52.2,57.2
Mongolia,48.9,58.4
Mauritania,46.7,47.2
Malawi,42.8,35.0
Malaysia,59.1,60.1
Niger,38.0,45.0
Nigeria,54.9,49.8
Nicaragua,54.5,62.6
Netherlands,74.7,74.0
Norway,76.8,73.2
Nepal,42.3,53.6
New Zealand,72.5,71.2
Pakistan,51.3,45.5
Panama,68.6,62.6
Peru,58.3,55.3
Philippines,50.0,55.2
Poland,58.8,62.6
Portugal,49.9,59.7
Paraguay,58.2,57.4
Palestine,46.5,49.1
Romania,51.7,65.9
Russia,56.2,56.6
Saudi Arabia,64.0,64.6
Senegal,36.7,48.5
El Salvador,59.3,61.2
Serbia,51.5,61.4
Slovak Republic,59.1,64.7
Slovenia,60.6,66.5
Sweden,75.6,74.0
Chad,40.3,44.0
Thailand,63.0,58.4
Tajikistan,45.0,53.3
Tunisia,44.6,45.0
Turkey,53.1,46.1
Taiwan,61.3,65.3
Tanzania,40.1,36.9
Uganda,43.1,44.3
Ukraine,50.3,50.7
Uruguay,64.5,64.9
USA,70.3,68.9
Uzbekistan,60.2,60.1
Venezuela,70.7,52.1
Vietnam,55.4,57.6
South Africa,51.3,52.8
Zambia,50.1,39.8
Zimbabwe,49.5,32.0
