country,2012_life,2022_life,2012_gni,2022_gni,2012_happiness,2022_happiness
Afghanistan,61.4,64.3,714,519,37.8,18.6
Albania,78.2,78.8,4940,5710,55.1,52.8
Argentina,76.2,77.0,13500,9640,64.7,60.2
Armenia,74.6,76.1,4400,4410,43.2,53.4
Australia,82.6,83.3,68300,57100,72.0,71.0
Austria,81.2,82.6,56700,51500,74.0,71.0
Belgium,80.5,81.9,53400,48700,69.3,68.6
Benin,61.7,65.5,1270,1350,31.9,43.7
Burkina Faso,58.6,62.9,827,797,39.5,46.4
Bangladesh,72.3,75.4,1100,2320,47.2,42.8
Bulgaria,73.0,73.7,8490,10600,42.2,54.7
Bahrain,75.7,77.4,24900,20400,50.3,61.7
Bosnia and Herzegovina,76.7,77.4,5660,6560,47.7,56.3
Bolivia,70.7,72.8,2550,3390,60.2,56.8
Brazil,74.3,76.4,13900,8240,66.6,61.3
Botswana,58.6,62.6,8220,7220,48.4,34.4
Canada,82.0,82.6,57900,47000,74.2,69.6
Switzerland,83.1,84.4,99500,85800,77.8,72.4
Chile,79.2,80.6,16300,14500,66.0,63.3
China,75.7,78.1,6700,12000,51.0,58.2
Cameroon,58.8,64.3,1610,1560,42.5,49.7
"Congo, Dem. Rep.",60.1,65.9,431,561,46.4,32.1
"Congo, Rep.",61.9,66.1,3970,1710,39.2,52.7
Colombia,79.0,80.7,8260,6190,63.8,56.3
Comoros,66.3,69.4,1610,1360,39.6,35.5
Costa Rica,80.3,80.6,10500,12000,72.7,66.1
Cyprus,80.1,81.3,33600,27300,61.8,61.3
Czech Republic,78.3,79.9,22000,23800,63.3,68.5
Germany,80.8,81.7,52700,50700,67.0,68.9
Denmark,80.3,81.5,69900,66200,75.2,75.9
Dominican Republic,72.9,73.7,6560,7890,47.5,55.7
Algeria,74.9,76.7,5890,3640,56.0,53.3
Ecuador,74.9,77.0,6110,5580,59.6,55.6
Egypt,69.7,71.4,3220,3120,42.0,41.7
Spain,82.4,83.5,33500,30300,62.9,64.4
